ds,y,yhat,trend,weekly,yearly,explanation
2015-07-02,5013711.0,4437618.775365117,3916592.4532734826,278395.00693040574,242631.31516122876,Momentum from previous days is pushing demand upward. Strong weekend or midweek demand is contributing to higher sales. Seasonal factors for this time of year are favoring higher sales.
2015-07-03,5139442.0,4716550.445426247,3916556.138197266,633170.9179667863,166823.3892621946,"Momentum from previous days is pushing demand upward. Weekly patterns, especially near weekends, are boosting performance."
2015-07-04,5177833.0,5120019.698602365,3916519.8231210504,1114680.6091534488,88819.26632786675,"Momentum from previous days is pushing demand upward. Weekly patterns, especially near weekends, are boosting performance."
2015-07-05,43986.0,-73644.37006210536,3916483.5080448342,-3998389.144515635,8261.266408695792,Decline is expected as the trend indicates reduced activity. Weekday slowdown is likely causing lower sales volume. Seasonal factors for this time of year are favoring higher sales.
2015-07-06,4461011.0,4668424.114752673,3916447.1929686186,827245.8210613847,-75268.89927733054,"A positive growth pattern is driving sales higher. Weekly patterns, especially near weekends, are boosting performance."
2015-07-07,3852666.0,4363530.933326986,3916410.877892402,609347.1630046589,-162227.10757007514,Sales are expected to rise due to a continuing upward trend. Strong weekend or midweek demand is contributing to higher sales.
2015-07-08,4264142.0,4198842.671143886,3916374.5628161863,535549.626413157,-253081.51808545805,"Momentum from previous days is pushing demand upward. Weekly patterns, especially near weekends, are boosting performance. This time of year typically sees a dip in customer activity."
2015-07-09,4235588.0,3846447.4146596994,3916338.24773997,278395.0069308884,-348285.8400111591,"Sales are expected to remain steady, following a stable trend. Strong weekend or midweek demand is contributing to higher sales. This time of year typically sees a dip in customer activity."
2015-07-10,4350358.0,4101220.7699269336,3916301.9326637546,633170.9179643228,-448252.0807011438,No major change is anticipated; the overall trend looks consistent. Strong weekend or midweek demand is contributing to higher sales. This time of year typically sees a dip in customer activity.
2015-07-11,5323310.0,4477622.516510164,3916265.617587538,1114680.6091472562,-553323.7102246302,A positive growth pattern is driving sales higher. Strong weekend or midweek demand is contributing to higher sales. This time of year typically sees a dip in customer activity.
2015-07-12,51087.0,-745910.0129692229,3916229.3025113223,-3998389.144515908,-663750.1709646372,Sales are projected to dip slightly following a downward trend. Midweek dip in activity is slightly pulling sales down. This time of year typically sees a dip in customer activity.
2015-07-13,4765617.0,3963775.181710862,3916192.987435106,827245.8210672059,-779663.6267914501,No major change is anticipated; the overall trend looks consistent. Strong weekend or midweek demand is contributing to higher sales. This time of year typically sees a dip in customer activity.
2015-07-14,4407014.0,3624445.0520770005,3916156.67235889,609347.1629982656,-901058.7832801554,"A slowdown in recent demand is contributing to lower sales. Weekly patterns, especially near weekends, are boosting performance. This time of year typically sees a dip in customer activity."
2015-07-15,4215641.0,3423893.4629885047,3916120.357282674,535549.6264026326,-1027776.5206968016,"A slowdown in recent demand is contributing to lower sales. Weekly patterns, especially near weekends, are boosting performance. This time of year typically sees a dip in customer activity."
2015-07-16,3316821.0,3034987.0813966603,3916084.0422064583,278395.0069343712,-1159491.967744169,"A slowdown in recent demand is contributing to lower sales. Weekly patterns, especially near weekends, are boosting performance. This time of year typically sees a dip in customer activity."
2015-07-17,3344207.0,3253511.1353308195,3916047.727130242,633170.9179618594,-1295707.509761282,Decline is expected as the trend indicates reduced activity. Strong weekend or midweek demand is contributing to higher sales. This time of year typically sees a dip in customer activity.
2015-07-18,5499920.0,3594940.946942509,3916011.412054026,1114680.6091459838,-1435751.0742575007,Decline is expected as the trend indicates reduced activity. Strong weekend or midweek demand is contributing to higher sales. This time of year typically sees a dip in customer activity.
2015-07-19,52532.0,-1661193.921480034,3915975.09697781,-3998389.144515879,-1578779.8739419645,A slowdown in recent demand is contributing to lower sales. Weekday slowdown is likely causing lower sales volume. This time of year typically sees a dip in customer activity.
2015-07-20,2424792.0,3019394.985176092,3915938.7819015943,827245.8210619316,-1723789.6177874343,Decline is expected as the trend indicates reduced activity. Strong weekend or midweek demand is contributing to higher sales. This time of year typically sees a dip in customer activity.
2015-07-21,2104734.0,2655620.60053361,3915902.4668253786,609347.1630001686,-1869629.0292919367,Decline is expected as the trend indicates reduced activity. Strong weekend or midweek demand is contributing to higher sales. This time of year typically sees a dip in customer activity.
2015-07-22,2052549.0,2436396.434805944,3915866.151749162,535549.6264093847,-2015019.3433526023,"Sales are projected to dip slightly following a downward trend. Weekly patterns, especially near weekends, are boosting performance. This time of year typically sees a dip in customer activity."
2015-07-23,2205793.0,2035646.549438735,3915829.8366729463,278395.006937854,-2158578.2941720653,A slowdown in recent demand is contributing to lower sales. Strong weekend or midweek demand is contributing to higher sales. This time of year typically sees a dip in customer activity.
2015-07-24,2152269.0,2250116.478155773,3915793.52159673,633170.9179602026,-2298847.9614011594,"A slowdown in recent demand is contributing to lower sales. Weekly patterns, especially near weekends, are boosting performance. This time of year typically sees a dip in customer activity."
2015-07-25,5044103.0,2596112.100856055,3915757.2065205146,1114680.6091463792,-2434325.714810839,"Decline is expected as the trend indicates reduced activity. Weekly patterns, especially near weekends, are boosting performance. This time of year typically sees a dip in customer activity."
2015-07-26,43577.0,-2646165.6462850817,3915720.891444298,-3998389.1445158906,-2563497.393213488,Sales are projected to dip slightly following a downward trend. Midweek dip in activity is slightly pulling sales down. This time of year typically sees a dip in customer activity.
2015-07-27,1958067.0,2058058.6228897385,3915684.5763680823,827245.8210479001,-2684871.774526244,"A slowdown in recent demand is contributing to lower sales. Weekly patterns, especially near weekends, are boosting performance. This time of year typically sees a dip in customer activity."
2015-07-28,1816835.0,1727980.0809998126,3915648.261291866,609347.1630020716,-2797015.3432941246,"Sales are projected to dip slightly following a downward trend. Weekly patterns, especially near weekends, are boosting performance. This time of year typically sees a dip in customer activity."
2015-07-29,1764366.0,1552575.2311164392,3915611.9462156505,535549.6264057572,-2898586.341504969,"Sales are projected to dip slightly following a downward trend. Weekly patterns, especially near weekends, are boosting performance. This time of year typically sees a dip in customer activity."
2015-07-30,1234102.0,1205603.5391728822,3915575.631139434,278395.00693082326,-2988367.0988973747,"Decline is expected as the trend indicates reduced activity. Weekly patterns, especially near weekends, are boosting performance. This time of year typically sees a dip in customer activity."
2015-07-31,1314879.0,1483416.5539238062,3915539.3160632183,633170.9179663038,-3065293.680105716,"A slowdown in recent demand is contributing to lower sales. Weekly patterns, especially near weekends, are boosting performance. This time of year typically sees a dip in customer activity."
